name,inChampions,num,accuracy,basePower,category,pp,priority,flags,boosts,target,type,zMove,contestType,desc,shortDesc,critRatio,isZ,isNonstandard,drain,secondary,basePowerCallback,condition,volatileStatus,self,multihit,callsMove,sideCondition,hasCrashDamage,stallingMove,selfSwitch,ignoreImmunity,overrideOffensiveStat,maxMove,recoil,weather,ignoreEvasion,ignoreDefensive,forceSwitch,selfBoost,nonGhostTarget,status,smartTarget,damage,terrain,hasSheerForceBoost,selfdestruct,pseudoWeather,onDamagePriority,breaksProtect,secondaries,ohko,willCrit,overrideOffensivePokemon,isMax,ignoreAbility,slotCondition,heal,realMove,thawsTarget,mindBlownRecoil,multiaccuracy,overrideDefensiveStat,noPPBoosts,sleepUsable,tracksTarget,stealsBoosts,struggleRecoil
Feint Attack,,185,TRUE,60,Physical,20,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Dark,,Clever,This move does not check accuracy.,This move does not check accuracy.,,,Past,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fell Stinger,,565,100,50,Physical,25,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Bug,,Cool,Raises the user's Attack by 3 stages if this move knocks out the target.,Raises user's Attack by 3 if this KOes the target.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fickle Beam,,907,100,80,Special,5,0,"{'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Dragon,,,Has a 30% chance this move's power is doubled.,Has a 30% chance this move's power is doubled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiery Dance,,552,100,80,Special,10,0,"{'protect': 1, 'mirror': 1, 'dance': 1, 'metronome': 1}",,normal,Fire,,Beautiful,Has a 50% chance to raise the user's Special Attack by 1 stage.,50% chance to raise the user's Sp. Atk by 1.,,,,,"{'chance': 50, 'self': {'boosts': {'spa': 1}}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiery Wrath,,822,100,90,Special,10,0,"{'protect': 1, 'mirror': 1}",,allAdjacentFoes,Dark,,,Has a 20% chance to make the target flinch.,20% chance to make the foe(s) flinch.,,,,,"{'chance': 20, 'volatileStatus': 'flinch'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fillet Away,,868,TRUE,0,Status,10,0,{'snatch': 1},"{'atk': 2, 'spa': 2, 'spe': 2}",self,Normal,,,"Raises the user's Attack, Special Attack, and Speed by 2 stages in exchange for the user losing 1/2 of its maximum HP, rounded down. Fails if the user would faint or if its Attack, Special Attack, and Speed stat stages would not change.","+2 Attack, Sp. Atk, Speed for 1/2 user's max HP.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Gambit,,515,100,0,Special,5,0,"{'protect': 1, 'metronome': 1, 'noparentalbond': 1}",,normal,Fighting,{'basePower': 180},Tough,"Deals damage to the target equal to the user's current HP. If this move is successful, the user faints.",Does damage equal to the user's HP. User faints.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ifHit,,,,,,,,,,,,,,,,,,,,,
Fire Blast,,126,85,110,Special,5,0,"{'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Fire,,Beautiful,Has a 10% chance to burn the target.,10% chance to burn the target.,,,,,"{'chance': 10, 'status': 'brn'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Fang,,424,95,65,Physical,15,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'metronome': 1, 'bite': 1}",,normal,Fire,,Cool,Has a 10% chance to burn the target and a 10% chance to make it flinch.,10% chance to burn. 10% chance to flinch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'chance': 10, 'status': 'brn'}, {'chance': 10, 'volatileStatus': 'flinch'}]",,,,,,,,,,,,,,,,,
Fire Lash,,680,100,80,Physical,15,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Fire,,Cute,Has a 100% chance to lower the target's Defense by 1 stage.,100% chance to lower the target's Defense by 1.,,,,,"{'chance': 100, 'boosts': {'def': -1}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Pledge,,519,100,80,Special,10,0,"{'protect': 1, 'mirror': 1, 'nonsky': 1, 'metronome': 1, 'pledgecombo': 1}",,normal,Fire,,Beautiful,"If one of the user's allies chose to use Grass Pledge or Water Pledge this turn and has not moved yet, it takes its turn immediately after the user and the user's move does nothing. If combined with Grass Pledge, the ally uses Fire Pledge with 150 power and a sea of fire appears on the target's side for 4 turns, which causes damage to non-Fire types equal to 1/8 of their maximum HP, rounded down, at the end of each turn during effect, including the last turn. If combined with Water Pledge, the ally uses Water Pledge with 150 power and a rainbow appears on the user's side for 4 turns, which doubles secondary effect chances and stacks with the Serene Grace Ability, except effects that cause flinching can only have their chance doubled once. When used as a combined move, this move gains STAB no matter what the user's type is. This move does not consume the user's Fire Gem.",Use with Grass or Water Pledge for added effect.,,,,,,TRUE,"{'duration': 4, 'onResidualOrder': 5, 'onResidualSubOrder': 1, 'onSideResidualOrder': 26, 'onSideResidualSubOrder': 8}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Punch,,7,100,75,Physical,15,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'punch': 1, 'metronome': 1}",,normal,Fire,,Tough,Has a 10% chance to burn the target.,10% chance to burn the target.,,,,,"{'chance': 10, 'status': 'brn'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Spin,,83,85,35,Special,15,0,"{'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Fire,,Beautiful,"Prevents the target from switching for four or five turns (seven turns if the user is holding Grip Claw). Causes damage to the target equal to 1/8 of its maximum HP (1/6 if the user is holding Binding Band), rounded down, at the end of each turn during effect. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Shed Tail, Teleport, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field, or if the target uses Mortal Spin, Rapid Spin, or Substitute successfully. This effect is not stackable or reset by using this or another binding move.",Traps and damages the target for 4-5 turns.,,,,,,,,partiallytrapped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Impression,,660,100,90,Physical,10,2,"{'contact': 1, 'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Bug,,Cute,Fails unless it is the user's first turn on the field.,Nearly always goes first. First turn out only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fishious Rend,,755,100,85,Physical,10,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'metronome': 1, 'bite': 1}",,normal,Water,,,Power doubles if the user moves before the target.,Power doubles if user moves before the target.,,,Past,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fissure,,90,30,0,Physical,5,0,"{'protect': 1, 'mirror': 1, 'nonsky': 1, 'metronome': 1}",,normal,Ground,{'basePower': 180},Tough,"Deals damage to the target equal to the target's maximum HP. Ignores accuracy and evasiveness modifiers. This attack's accuracy is equal to (user's level - target's level + 30)%, and fails if the target is at a higher level. Pokemon with the Sturdy Ability are immune.",OHKOs the target. Fails if user is a lower level.,,,,,,,,,,,,,,,,,,{'basePower': 130},,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,
Flail,,175,100,0,Physical,15,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Normal,{'basePower': 160},Cute,"The power of this move is 20 if X is 33 to 48, 40 if X is 17 to 32, 80 if X is 10 to 16, 100 if X is 5 to 9, 150 if X is 2 to 4, and 200 if X is 0 or 1, where X is equal to (user's current HP * 48 / user's maximum HP), rounded down.",More power the less HP the user has left.,,,,,,TRUE,,,,,,,,,,,,{'basePower': 130},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flame Burst,,481,100,70,Special,15,0,"{'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Fire,,Beautiful,"If this move is successful, the target's ally loses 1/16 of its maximum HP, rounded down, unless it has the Magic Guard Ability.",Damages Pokemon next to the target as well.,,,Past,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flame Charge,,488,100,50,Physical,20,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Fire,,Cool,Has a 100% chance to raise the user's Speed by 1 stage.,100% chance to raise the user's Speed by 1.,,,,,"{'chance': 100, 'self': {'boosts': {'spe': 1}}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flamethrower,,53,100,90,Special,15,0,"{'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Fire,,Beautiful,Has a 10% chance to burn the target.,10% chance to burn the target.,,,,,"{'chance': 10, 'status': 'brn'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flame Wheel,,172,100,60,Physical,25,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'defrost': 1, 'metronome': 1}",,normal,Fire,,Beautiful,Has a 10% chance to burn the target.,10% chance to burn the target. Thaws user.,,,,,"{'chance': 10, 'status': 'brn'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flare Blitz,,394,100,120,Physical,15,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'defrost': 1, 'metronome': 1}",,normal,Fire,,Cool,"Has a 10% chance to burn the target. If the target lost HP, the user takes recoil damage equal to 33% the HP lost by the target, rounded half up, but not less than 1 HP.",Has 33% recoil. 10% chance to burn. Thaws user.,,,,,"{'chance': 10, 'status': 'brn'}",,,,,,,,,,,,,,"[33, 100]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flash,,148,100,0,Status,20,0,"{'protect': 1, 'reflectable': 1, 'mirror': 1, 'metronome': 1}",{'accuracy': -1},normal,Normal,{'boost': {'evasion': 1}},Beautiful,Lowers the target's accuracy by 1 stage.,Lowers the target's accuracy by 1.,,,Past,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flash Cannon,,430,100,80,Special,10,0,"{'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Steel,,Beautiful,Has a 10% chance to lower the target's Special Defense by 1 stage.,10% chance to lower the target's Sp. Def by 1.,,,,,"{'chance': 10, 'boosts': {'spd': -1}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flatter,,260,100,0,Status,15,0,"{'protect': 1, 'reflectable': 1, 'mirror': 1, 'allyanim': 1, 'metronome': 1}",{'spa': 1},normal,Dark,{'boost': {'spd': 1}},Clever,Raises the target's Special Attack by 1 stage and confuses it.,Raises the target's Sp. Atk by 1 and confuses it.,,,,,,,,confusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fleur Cannon,,705,90,130,Special,5,0,"{'protect': 1, 'mirror': 1}",,normal,Fairy,,Beautiful,Lowers the user's Special Attack by 2 stages.,Lowers the user's Sp. Atk by 2.,,,,,,,,,{'boosts': {'spa': -2}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fling,,374,100,0,Physical,10,0,"{'protect': 1, 'mirror': 1, 'allyanim': 1, 'metronome': 1, 'noparentalbond': 1}",,normal,Dark,,Cute,"The power of this move is based on the user's held item. The held item is lost and it activates for the target if applicable. If there is no target or the target avoids this move by protecting itself, the user's held item is still lost. The user can regain a thrown item with Recycle or the Harvest Ability. Fails if the user has no held item, if the held item cannot be thrown, if the user is under the effect of Embargo or Magic Room, or if the user has the Klutz Ability.",Flings the user's item at the target. Power varies.,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flip Turn,,812,100,60,Physical,20,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Water,,,"If this move is successful and the user has not fainted, the user switches out even if it is trapped and is replaced immediately by a selected party member. The user does not switch out if there are no unfainted party members, or if the target switched out using an Eject Button or through the effect of the Emergency Exit or Wimp Out Abilities.",User switches out after damaging the target.,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floaty Fall,,731,95,90,Physical,15,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'gravity': 1}",,normal,Flying,,Cool,Has a 30% chance to make the target flinch.,30% chance to make the target flinch.,,,LGPE,,"{'chance': 30, 'volatileStatus': 'flinch'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floral Healing,,666,TRUE,0,Status,10,0,"{'protect': 1, 'reflectable': 1, 'heal': 1, 'allyanim': 1, 'metronome': 1}",,normal,Fairy,{'effect': 'clearnegativeboost'},Beautiful,"The target restores 1/2 of its maximum HP, rounded half up. If the terrain is Grassy Terrain, the target instead restores 2/3 of its maximum HP, rounded half down.",Heals the target by 50% of its max HP.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flower Shield,,579,TRUE,0,Status,10,0,"{'distance': 1, 'metronome': 1}",,all,Fairy,{'boost': {'def': 1}},Beautiful,Raises the Defense of all active Grass-type Pokemon by 1 stage. Fails if there are no active Grass-type Pokemon.,Raises Defense by 1 of all active Grass types.,,,Past,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flower Trick,,870,TRUE,70,Physical,10,0,"{'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Grass,,,This move is always a critical hit unless the target is under the effect of Lucky Chant or has the Battle Armor or Shell Armor Abilities. This move does not check accuracy.,Always results in a critical hit; no accuracy check.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,
Fly,,19,95,90,Physical,15,0,"{'contact': 1, 'charge': 1, 'protect': 1, 'mirror': 1, 'gravity': 1, 'distance': 1, 'metronome': 1, 'nosleeptalk': 1, 'noassist': 1, 'failinstruct': 1}",,any,Flying,,Clever,"This attack charges on the first turn and executes on the second. On the first turn, the user avoids all attacks other than Gust, Hurricane, Sky Uppercut, Smack Down, Thousand Arrows, Thunder, and Twister, and Gust and Twister have doubled power when used against it. If the user is holding a Power Herb, the move completes in one turn.","Flies up on first turn, then strikes the next turn.",,,,,,,{'duration': 2},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flying Press,,560,95,100,Physical,10,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'gravity': 1, 'distance': 1, 'nonsky': 1, 'metronome': 1, 'minimize': 1}",,any,Fighting,{'basePower': 170},Tough,This move combines Flying in its type effectiveness against the target. Damage doubles and no accuracy check is done if the target has used Minimize while active.,Combines Flying in its type effectiveness.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focus Blast,,411,70,120,Special,5,0,"{'protect': 1, 'mirror': 1, 'metronome': 1, 'bullet': 1}",,normal,Fighting,,Cool,Has a 10% chance to lower the target's Special Defense by 1 stage.,10% chance to lower the target's Sp. Def by 1.,,,,,"{'chance': 10, 'boosts': {'spd': -1}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focus Energy,,116,TRUE,0,Status,30,0,"{'snatch': 1, 'metronome': 1}",,self,Normal,{'boost': {'accuracy': 1}},Cool,Raises the user's chance for a critical hit by 2 stages. Fails if the user already has the effect. Baton Pass can be used to transfer this effect to an ally.,Raises the user's critical hit ratio by 2.,,,,,,,{},focusenergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focus Punch,,264,100,150,Physical,20,-3,"{'contact': 1, 'protect': 1, 'punch': 1, 'failmefirst': 1, 'nosleeptalk': 1, 'noassist': 1, 'failcopycat': 1, 'failinstruct': 1}",,normal,Fighting,,Tough,The user loses its focus and does nothing if it is hit by a damaging attack this turn before it can execute the move.,Fails if the user takes damage before it hits.,,,,,,,{'duration': 1},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Follow Me,,266,TRUE,0,Status,20,2,"{'noassist': 1, 'failcopycat': 1}",,self,Normal,{'effect': 'clearnegativeboost'},Cute,"Until the end of the turn, all single-target attacks from the opposing side are redirected to the user. Such attacks are redirected to the user before they can be reflected by Magic Coat or the Magic Bounce Ability, or drawn in by the Lightning Rod or Storm Drain Abilities. Fails if it is not a Double Battle or Battle Royal. This effect is ignored while the user is under the effect of Sky Drop.",The foes' moves target the user on the turn used.,,,,,,,"{'duration': 1, 'onFoeRedirectTargetPriority': 1}",followme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Force Palm,,395,100,60,Physical,10,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Fighting,,Cool,Has a 30% chance to paralyze the target.,30% chance to paralyze the target.,,,,,"{'chance': 30, 'status': 'par'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foresight,,193,TRUE,0,Status,40,0,"{'protect': 1, 'reflectable': 1, 'mirror': 1, 'bypasssub': 1, 'metronome': 1}",,normal,Normal,{'effect': 'crit2'},Clever,"As long as the target remains active, its evasiveness stat stage is ignored during accuracy checks against it if it is greater than 0, and Normal- and Fighting-type attacks can hit the target if it is a Ghost type. Fails if the target is already affected, or affected by Miracle Eye or Odor Sleuth.","Fighting, Normal hit Ghost. Evasiveness ignored.",,,Past,,,,{'noCopy': True},foresight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest's Curse,,571,100,0,Status,20,0,"{'protect': 1, 'reflectable': 1, 'mirror': 1, 'allyanim': 1, 'metronome': 1}",,normal,Grass,"{'boost': {'atk': 1, 'def': 1, 'spa': 1, 'spd': 1, 'spe': 1}}",Clever,"Causes the Grass type to be added to the target, effectively making it have two or three types. Fails if the target is already a Grass type. If Trick-or-Treat adds a type to the target, it replaces the type added by this move and vice versa.",Adds Grass to the target's type(s).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foul Play,,492,100,95,Physical,15,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Dark,,Clever,"Damage is calculated using the target's Attack stat, including stat stage changes. The user's Ability, item, and burn are used as normal.",Uses target's Attack stat in damage calculation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,target,,,,,,,,,,,,,,
Freeze-Dry,,573,100,70,Special,20,0,"{'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Ice,,Beautiful,Has a 10% chance to freeze the target. This move's type effectiveness against Water is changed to be super effective no matter what this move's type is.,10% chance to freeze. Super effective on Water.,,,,,"{'chance': 10, 'status': 'frz'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freeze Shock,,553,90,140,Physical,5,0,"{'charge': 1, 'protect': 1, 'mirror': 1, 'nosleeptalk': 1, 'failinstruct': 1}",,normal,Ice,,Beautiful,"Has a 30% chance to paralyze the target. This attack charges on the first turn and executes on the second. If the user is holding a Power Herb, the move completes in one turn.",Charges turn 1. Hits turn 2. 30% paralyze.,,,,,"{'chance': 30, 'status': 'par'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freezing Glare,,821,100,90,Special,10,0,"{'protect': 1, 'mirror': 1}",,normal,Psychic,,,Has a 10% chance to freeze the target.,10% chance to freeze the target.,,,,,"{'chance': 10, 'status': 'frz'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freezy Frost,,739,90,100,Special,10,0,"{'protect': 1, 'mirror': 1}",,normal,Ice,,Clever,Resets the stat stages of all active Pokemon to 0.,Eliminates all stat changes.,,,LGPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frenzy Plant,,338,90,150,Special,5,0,"{'recharge': 1, 'protect': 1, 'mirror': 1, 'nonsky': 1, 'metronome': 1}",,normal,Grass,,Cool,"If this move is successful, the user must recharge on the following turn and cannot select a move.",User cannot move next turn.,,,,,,,,,{'volatileStatus': 'mustrecharge'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frost Breath,,524,90,60,Special,10,0,"{'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Ice,,Beautiful,This move is always a critical hit unless the target is under the effect of Lucky Chant or has the Battle Armor or Shell Armor Abilities.,Always results in a critical hit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,
Frustration,,218,100,0,Physical,20,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Normal,{'basePower': 160},Cute,"Power is equal to the greater of ((255 - user's Happiness) * 2/5), rounded down, or 1.",Max 102 power at minimum Happiness.,,,Past,,,TRUE,,,,,,,,,,,,{'basePower': 130},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fury Attack,,31,85,15,Physical,20,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Normal,,Cool,"Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times. If the user is holding Loaded Dice, this move will hit 4-5 times.",Hits 2-5 times in one turn.,,,,,,,,,,"[2, 5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fury Cutter,,210,95,40,Physical,20,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'metronome': 1, 'slicing': 1}",,normal,Bug,,Cool,"Power doubles with each successful hit, up to a maximum of 160 power. The power is reset if this move misses or another move is used.","Power doubles with each hit, up to 160.",,,,,,TRUE,{'duration': 2},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fury Swipes,,154,80,18,Physical,15,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Normal,,Tough,"Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times. If the user is holding Loaded Dice, this move will hit 4-5 times.",Hits 2-5 times in one turn.,,,,,,,,,,"[2, 5]",,,,,,,,{'basePower': 100},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fusion Bolt,,559,100,100,Physical,5,0,"{'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Electric,,Cool,Power doubles if the last move used by any Pokemon this turn was Fusion Flare.,Power doubles if used after Fusion Flare this turn.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fusion Flare,,558,100,100,Special,5,0,"{'protect': 1, 'mirror': 1, 'defrost': 1, 'metronome': 1}",,normal,Fire,,Beautiful,Power doubles if the last move used by any Pokemon this turn was Fusion Bolt.,Power doubles if used after Fusion Bolt this turn.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Future Sight,,248,100,120,Special,10,0,"{'allyanim': 1, 'metronome': 1, 'futuremove': 1}",,normal,Psychic,,Clever,"Deals damage two turns after this move is used. At the end of that turn, the damage is calculated at that time and dealt to the Pokemon at the position the target had when the move was used. If the user is no longer active at the time, damage is calculated based on the user's natural Special Attack stat, types, and level, with no boosts from its held item or Ability. Fails if this move or Doom Desire is already in effect for the target's position.",Hits two turns after being used.,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastro Acid,,380,100,0,Status,10,0,"{'protect': 1, 'reflectable': 1, 'mirror': 1, 'allyanim': 1, 'metronome': 1}",,normal,Poison,{'boost': {'spe': 1}},Tough,"Causes the target's Ability to be rendered ineffective as long as it remains active. If the target uses Baton Pass, the replacement will remain under this effect. If the target's Ability is As One, Battle Bond, Comatose, Disguise, Gulp Missile, Ice Face, Multitype, Power Construct, RKS System, Schooling, Shields Down, Stance Change, Tera Shift, Zen Mode, or Zero to Hero, this move fails, and receiving the effect through Baton Pass ends the effect immediately.",Nullifies the target's Ability.,,,,,,,{},gastroacid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gear Grind,,544,85,50,Physical,15,0,"{'contact': 1, 'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Steel,{'basePower': 180},Clever,"Hits twice. If the first hit breaks the target's substitute, it will take damage for the second hit.",Hits 2 times in one turn.,,,Past,,,,,,,2,,,,,,,,{'basePower': 130},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gear Up,,674,TRUE,0,Status,20,0,"{'snatch': 1, 'bypasssub': 1, 'metronome': 1}",,allySide,Steel,{'boost': {'spa': 1}},Clever,Raises the Attack and Special Attack of Pokemon on the user's side with the Plus or Minus Abilities by 1 stage.,"Raises Atk, Sp. Atk of allies with Plus/Minus by 1.",,,Past,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genesis Supernova,,703,TRUE,185,Special,1,0,{},,normal,Psychic,,Cool,"If this move is successful, the terrain becomes Psychic Terrain.",Summons Psychic Terrain.,,mewniumz,Past,,"{'chance': 100, 'self': {}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geomancy,,601,TRUE,0,Status,10,0,"{'charge': 1, 'nonsky': 1, 'metronome': 1, 'nosleeptalk': 1, 'failinstruct': 1}","{'spa': 2, 'spd': 2, 'spe': 2}",self,Fairy,"{'boost': {'atk': 1, 'def': 1, 'spa': 1, 'spd': 1, 'spe': 1}}",Beautiful,"Raises the user's Special Attack, Special Defense, and Speed by 2 stages. This attack charges on the first turn and executes on the second. If the user is holding a Power Herb, the move completes in one turn.","Charges, then raises SpA, SpD, Spe by 2 turn 2.",,,Past,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giga Drain,,202,100,75,Special,10,0,"{'protect': 1, 'mirror': 1, 'heal': 1, 'metronome': 1}",,normal,Grass,,Clever,"The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down.",User recovers 50% of the damage dealt.,,,,"[1, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giga Impact,,416,90,150,Physical,5,0,"{'contact': 1, 'recharge': 1, 'protect': 1, 'mirror': 1, 'metronome': 1}",,normal,Normal,,Tough,"If this move is successful, the user must recharge on the following turn and cannot select a move.",User cannot move next turn.,,,,,,,,,{'volatileStatus': 'mustrecharge'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
