,num,name,ID,type1,type2,genderRatio,baseHP,baseAtt,baseDef,baseSpA,baseSpD,baseSpe,baseStats,abilities,heightm,weightkg,color,evos,eggGroups,tier,prevo,evoLevel,otherFormes,formeOrder,canGigantamax,baseSpecies,forme,requiredItem,isNonstandard,changesFrom,evoCondition,evoType,gender,gen,evoItem,evoRegion,mother,canHatch,evoMove,tags,baseForme,cosmeticFormes,maxHP,requiredAbility,battleOnly,requiredMove,isCosmeticForme,requiredItems,cannotDynamax,requiredTeraType
unown,201,Unown,0201_unown,['Psychic'],,,,,,,,,"{'hp': 48, 'atk': 72, 'def': 48, 'spa': 72, 'spd': 48, 'spe': 48}",{'0': 'Levitate'},0.5,5,Black,,['Undiscovered'],Illegal,,,,"['Unown', 'Unown-B', 'Unown-C', 'Unown-D', 'Unown-E', 'Unown-F', 'Unown-G', 'Unown-H', 'Unown-I', 'Unown-J', 'Unown-K', 'Unown-L', 'Unown-M', 'Unown-N', 'Unown-O', 'Unown-P', 'Unown-Q', 'Unown-R', 'Unown-S', 'Unown-T', 'Unown-U', 'Unown-V', 'Unown-W', 'Unown-X', 'Unown-Y', 'Unown-Z', 'Unown-Exclamation', 'Unown-Question']",,,,,Past,,,,N,,,,,,,,A,"['Unown-B', 'Unown-C', 'Unown-D', 'Unown-E', 'Unown-F', 'Unown-G', 'Unown-H', 'Unown-I', 'Unown-J', 'Unown-K', 'Unown-L', 'Unown-M', 'Unown-N', 'Unown-O', 'Unown-P', 'Unown-Q', 'Unown-R', 'Unown-S', 'Unown-T', 'Unown-U', 'Unown-V', 'Unown-W', 'Unown-X', 'Unown-Y', 'Unown-Z', 'Unown-Exclamation', 'Unown-Question']",,,,,,,,
wobbuffet,202,Wobbuffet,0202_wobbuffet,['Psychic'],,,,,,,,,"{'hp': 190, 'atk': 33, 'def': 58, 'spa': 33, 'spd': 58, 'spe': 33}","{'0': 'Shadow Tag', 'H': 'Telepathy'}",1.3,28.5,Blue,,['Amorphous'],Illegal,Wynaut,15,,,,,,,Past,,,,,,,,,TRUE,,,,,,,,,,,,
girafarig,203,Girafarig,0203_girafarig,"['Normal', 'Psychic']",,,,,,,,,"{'hp': 70, 'atk': 80, 'def': 65, 'spa': 90, 'spd': 65, 'spe': 85}","{'0': 'Inner Focus', '1': 'Early Bird', 'H': 'Sap Sipper'}",1.5,41.5,Yellow,['Farigiraf'],['Field'],NFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pineco,204,Pineco,0204_pineco,['Bug'],,,,,,,,,"{'hp': 50, 'atk': 65, 'def': 90, 'spa': 35, 'spd': 35, 'spe': 15}","{'0': 'Sturdy', 'H': 'Overcoat'}",0.6,7.2,Gray,['Forretress'],['Bug'],LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forretress,205,Forretress,0205_forretress,"['Bug', 'Steel']",,,,,,,,,"{'hp': 75, 'atk': 90, 'def': 140, 'spa': 60, 'spd': 60, 'spe': 40}","{'0': 'Sturdy', 'H': 'Overcoat'}",1.2,125.8,Purple,,['Bug'],RU,Pineco,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunsparce,206,Dunsparce,0206_dunsparce,['Normal'],,,,,,,,,"{'hp': 100, 'atk': 70, 'def': 70, 'spa': 65, 'spd': 65, 'spe': 45}","{'0': 'Serene Grace', '1': 'Run Away', 'H': 'Rattled'}",1.5,14,Yellow,"['Dudunsparce', 'Dudunsparce-Three-Segment']",['Field'],NFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gligar,207,Gligar,0207_gligar,"['Ground', 'Flying']",,,,,,,,,"{'hp': 65, 'atk': 75, 'def': 105, 'spa': 35, 'spd': 65, 'spe': 85}","{'0': 'Hyper Cutter', '1': 'Sand Veil', 'H': 'Immunity'}",1.1,64.8,Purple,['Gliscor'],['Bug'],NU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steelix,208,Steelix,0208_steelix,"['Steel', 'Ground']",,,,,,,,,"{'hp': 75, 'atk': 85, 'def': 200, 'spa': 55, 'spd': 65, 'spe': 30}","{'0': 'Rock Head', '1': 'Sturdy', 'H': 'Sheer Force'}",9.2,400,Gray,,['Mineral'],Illegal,Onix,,['Steelix-Mega'],"['Steelix', 'Steelix-Mega']",,,,,Past,,,trade,,,Metal Coat,,,,,,,,,,,,,,,
steelixmega,208,Steelix-Mega,0208_steelix-mega,"['Steel', 'Ground']",,,,,,,,,"{'hp': 75, 'atk': 125, 'def': 230, 'spa': 55, 'spd': 95, 'spe': 30}",{'0': 'Sand Force'},10.5,740,Gray,,['Mineral'],Illegal,,,,,,Steelix,Mega,Steelixite,Past,,,,,,,,,,,,,,,,,,,,,
snubbull,209,Snubbull,0209_snubbull,['Fairy'],,"{'M': 0.25, 'F': 0.75}",,,,,,,"{'hp': 60, 'atk': 80, 'def': 50, 'spa': 40, 'spd': 40, 'spe': 30}","{'0': 'Intimidate', '1': 'Run Away', 'H': 'Rattled'}",0.6,7.8,Pink,['Granbull'],"['Field', 'Fairy']",LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
granbull,210,Granbull,0210_granbull,['Fairy'],,"{'M': 0.25, 'F': 0.75}",,,,,,,"{'hp': 90, 'atk': 120, 'def': 75, 'spa': 60, 'spd': 60, 'spe': 45}","{'0': 'Intimidate', '1': 'Quick Feet', 'H': 'Rattled'}",1.4,48.7,Purple,,"['Field', 'Fairy']",ZU,Snubbull,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qwilfish,211,Qwilfish,0211_qwilfish,"['Water', 'Poison']",,,,,,,,,"{'hp': 65, 'atk': 95, 'def': 85, 'spa': 55, 'spd': 55, 'spe': 85}","{'0': 'Poison Point', '1': 'Swift Swim', 'H': 'Intimidate'}",0.5,3.9,Gray,,['Water 2'],PU,,,['Qwilfish-Hisui'],"['Qwilfish', 'Qwilfish-Hisui']",,,,,,,,,,,,,,,,,,,,,,,,,,
qwilfishhisui,211,Qwilfish-Hisui,0211_qwilfish-hisui,"['Dark', 'Poison']",,,,,,,,,"{'hp': 65, 'atk': 95, 'def': 85, 'spa': 55, 'spd': 55, 'spe': 85}","{'0': 'Poison Point', '1': 'Swift Swim', 'H': 'Intimidate'}",0.5,3.9,Black,['Overqwil'],['Water 2'],PU,,,,,,Qwilfish,Hisui,,,,,,,,,,,,,,,,,,,,,,,
scizor,212,Scizor,0212_scizor,"['Bug', 'Steel']",,,,,,,,,"{'hp': 70, 'atk': 130, 'def': 100, 'spa': 55, 'spd': 80, 'spe': 65}","{'0': 'Swarm', '1': 'Technician', 'H': 'Light Metal'}",1.8,118,Red,,['Bug'],UU,Scyther,,['Scizor-Mega'],"['Scizor', 'Scizor-Mega']",,,,,,,,trade,,,Metal Coat,,,,,,,,,,,,,,,
scizormega,212,Scizor-Mega,0212_scizor-mega,"['Bug', 'Steel']",,,,,,,,,"{'hp': 70, 'atk': 150, 'def': 140, 'spa': 65, 'spd': 100, 'spe': 75}",{'0': 'Technician'},2,125,Red,,['Bug'],Illegal,,,,,,Scizor,Mega,Scizorite,Past,,,,,,,,,,,,,,,,,,,,,
shuckle,213,Shuckle,0213_shuckle,"['Bug', 'Rock']",,,,,,,,,"{'hp': 20, 'atk': 10, 'def': 230, 'spa': 10, 'spd': 230, 'spe': 5}","{'0': 'Sturdy', '1': 'Gluttony', 'H': 'Contrary'}",0.6,20.5,Yellow,,['Bug'],Illegal,,,,,,,,,Past,,,,,,,,,,,,,,,,,,,,,
heracross,214,Heracross,0214_heracross,"['Bug', 'Fighting']",,,,,,,,,"{'hp': 80, 'atk': 125, 'def': 75, 'spa': 40, 'spd': 95, 'spe': 85}","{'0': 'Swarm', '1': 'Guts', 'H': 'Moxie'}",1.5,54,Blue,,['Bug'],PUBL,,,['Heracross-Mega'],"['Heracross', 'Heracross-Mega']",,,,,,,,,,,,,,,,,,,,,,,,,,
heracrossmega,214,Heracross-Mega,0214_heracross-mega,"['Bug', 'Fighting']",,,,,,,,,"{'hp': 80, 'atk': 185, 'def': 115, 'spa': 40, 'spd': 105, 'spe': 75}",{'0': 'Skill Link'},1.7,62.5,Blue,,['Bug'],Illegal,,,,,,Heracross,Mega,Heracronite,Past,,,,,,,,,,,,,,,,,,,,,
sneasel,215,Sneasel,0215_sneasel,"['Dark', 'Ice']",,,,,,,,,"{'hp': 55, 'atk': 95, 'def': 55, 'spa': 35, 'spd': 75, 'spe': 115}","{'0': 'Inner Focus', '1': 'Keen Eye', 'H': 'Pickpocket'}",0.9,28,Black,['Weavile'],['Field'],NFE,,,['Sneasel-Hisui'],"['Sneasel', 'Sneasel-Hisui']",,,,,,,,,,,,,,,,,,,,,,,,,,
sneaselhisui,215,Sneasel-Hisui,0215_sneasel-hisui,"['Fighting', 'Poison']",,,,,,,,,"{'hp': 55, 'atk': 95, 'def': 55, 'spa': 35, 'spd': 75, 'spe': 115}","{'0': 'Inner Focus', '1': 'Keen Eye', 'H': 'Pickpocket'}",0.9,27,Gray,['Sneasler'],['Field'],ZU,,,,,,Sneasel,Hisui,,,,,,,,,,,,,,,,,,,,,,,
teddiursa,216,Teddiursa,0216_teddiursa,['Normal'],,,,,,,,,"{'hp': 60, 'atk': 80, 'def': 50, 'spa': 50, 'spd': 50, 'spe': 40}","{'0': 'Pickup', '1': 'Quick Feet', 'H': 'Honey Gather'}",0.6,8.8,Brown,['Ursaring'],['Field'],LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ursaring,217,Ursaring,0217_ursaring,['Normal'],,,,,,,,,"{'hp': 90, 'atk': 130, 'def': 75, 'spa': 75, 'spd': 75, 'spe': 55}","{'0': 'Guts', '1': 'Quick Feet', 'H': 'Unnerve'}",1.8,125.8,Brown,['Ursaluna'],['Field'],NFE,Teddiursa,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slugma,218,Slugma,0218_slugma,['Fire'],,,,,,,,,"{'hp': 40, 'atk': 40, 'def': 40, 'spa': 70, 'spd': 40, 'spe': 20}","{'0': 'Magma Armor', '1': 'Flame Body', 'H': 'Weak Armor'}",0.7,35,Red,['Magcargo'],['Amorphous'],LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magcargo,219,Magcargo,0219_magcargo,"['Fire', 'Rock']",,,,,,,,,"{'hp': 60, 'atk': 50, 'def': 120, 'spa': 90, 'spd': 80, 'spe': 30}","{'0': 'Magma Armor', '1': 'Flame Body', 'H': 'Weak Armor'}",0.8,55,Red,,['Amorphous'],ZU,Slugma,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swinub,220,Swinub,0220_swinub,"['Ice', 'Ground']",,,,,,,,,"{'hp': 50, 'atk': 50, 'def': 40, 'spa': 30, 'spd': 30, 'spe': 50}","{'0': 'Oblivious', '1': 'Snow Cloak', 'H': 'Thick Fat'}",0.4,6.5,Brown,['Piloswine'],['Field'],LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piloswine,221,Piloswine,0221_piloswine,"['Ice', 'Ground']",,,,,,,,,"{'hp': 100, 'atk': 100, 'def': 80, 'spa': 60, 'spd': 60, 'spe': 50}","{'0': 'Oblivious', '1': 'Snow Cloak', 'H': 'Thick Fat'}",1.1,55.8,Brown,['Mamoswine'],['Field'],NFE,Swinub,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corsola,222,Corsola,0222_corsola,"['Water', 'Rock']",,"{'M': 0.25, 'F': 0.75}",,,,,,,"{'hp': 65, 'atk': 55, 'def': 95, 'spa': 65, 'spd': 95, 'spe': 35}","{'0': 'Hustle', '1': 'Natural Cure', 'H': 'Regenerator'}",0.6,5,Pink,,"['Water 1', 'Water 3']",Illegal,,,['Corsola-Galar'],"['Corsola', 'Corsola-Galar']",,,,,Past,,,,,,,,,,,,,,,,,,,,,
corsolagalar,222,Corsola-Galar,0222_corsola-galar,['Ghost'],,"{'M': 0.25, 'F': 0.75}",,,,,,,"{'hp': 60, 'atk': 55, 'def': 100, 'spa': 65, 'spd': 100, 'spe': 30}","{'0': 'Weak Armor', 'H': 'Cursed Body'}",0.6,0.5,White,['Cursola'],"['Water 1', 'Water 3']",Illegal,,,,,,Corsola,Galar,,Past,,,,,,,,,,,,,,,,,,,,,
remoraid,223,Remoraid,0223_remoraid,['Water'],,,,,,,,,"{'hp': 35, 'atk': 65, 'def': 35, 'spa': 65, 'spd': 35, 'spe': 65}","{'0': 'Hustle', '1': 'Sniper', 'H': 'Moody'}",0.6,12,Gray,['Octillery'],"['Water 1', 'Water 2']",Illegal,,,,,,,,,Past,,,,,,,,,,,,,,,,,,,,,
octillery,224,Octillery,0224_octillery,['Water'],,,,,,,,,"{'hp': 75, 'atk': 105, 'def': 75, 'spa': 105, 'spd': 75, 'spe': 45}","{'0': 'Suction Cups', '1': 'Sniper', 'H': 'Moody'}",0.9,28.5,Red,,"['Water 1', 'Water 2']",Illegal,Remoraid,25,,,,,,,Past,,,,,,,,,,,,,,,,,,,,,
delibird,225,Delibird,0225_delibird,"['Ice', 'Flying']",,,,,,,,,"{'hp': 45, 'atk': 55, 'def': 45, 'spa': 65, 'spd': 45, 'spe': 75}","{'0': 'Vital Spirit', '1': 'Hustle', 'H': 'Insomnia'}",0.9,16,Red,,"['Water 1', 'Field']",ZU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mantine,226,Mantine,0226_mantine,"['Water', 'Flying']",,,,,,,,,"{'hp': 85, 'atk': 40, 'def': 70, 'spa': 80, 'spd': 140, 'spe': 70}","{'0': 'Swift Swim', '1': 'Water Absorb', 'H': 'Water Veil'}",2.1,220,Purple,,['Water 1'],Illegal,Mantyke,,,,,,,,Past,,with a Remoraid in party,levelExtra,,,,,,TRUE,,,,,,,,,,,,
skarmory,227,Skarmory,0227_skarmory,"['Steel', 'Flying']",,,,,,,,,"{'hp': 65, 'atk': 80, 'def': 140, 'spa': 40, 'spd': 70, 'spe': 70}","{'0': 'Keen Eye', '1': 'Sturdy', 'H': 'Weak Armor'}",1.7,50.5,Gray,,['Flying'],UU,,,['Skarmory-Mega'],"['Skarmory', 'Skarmory-Mega']",,,,,,,,,,,,,,,,,,,,,,,,,,
skarmorymega,227,Skarmory-Mega,0227_skarmory-mega,"['Steel', 'Flying']",,,,,,,,,"{'hp': 65, 'atk': 140, 'def': 110, 'spa': 40, 'spd': 100, 'spe': 110}","{'0': 'Keen Eye', '1': 'Sturdy', 'H': 'Weak Armor'}",1.7,40.4,Gray,,['Flying'],Illegal,,,,,,Skarmory,Mega,Skarmorite,Future,,,,,9,,,,,,,,,,,,,,,,
houndour,228,Houndour,0228_houndour,"['Dark', 'Fire']",,,,,,,,,"{'hp': 45, 'atk': 60, 'def': 30, 'spa': 80, 'spd': 50, 'spe': 65}","{'0': 'Early Bird', '1': 'Flash Fire', 'H': 'Unnerve'}",0.6,10.8,Black,['Houndoom'],['Field'],LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
houndoom,229,Houndoom,0229_houndoom,"['Dark', 'Fire']",,,,,,,,,"{'hp': 75, 'atk': 90, 'def': 50, 'spa': 110, 'spd': 80, 'spe': 95}","{'0': 'Early Bird', '1': 'Flash Fire', 'H': 'Unnerve'}",1.4,35,Black,,['Field'],ZU,Houndour,24,['Houndoom-Mega'],"['Houndoom', 'Houndoom-Mega']",,,,,,,,,,,,,,,,,,,,,,,,,,
houndoommega,229,Houndoom-Mega,0229_houndoom-mega,"['Dark', 'Fire']",,,,,,,,,"{'hp': 75, 'atk': 90, 'def': 90, 'spa': 140, 'spd': 90, 'spe': 115}",{'0': 'Solar Power'},1.9,49.5,Black,,['Field'],Illegal,,,,,,Houndoom,Mega,Houndoominite,Past,,,,,,,,,,,,,,,,,,,,,
kingdra,230,Kingdra,0230_kingdra,"['Water', 'Dragon']",,,,,,,,,"{'hp': 75, 'atk': 95, 'def': 95, 'spa': 95, 'spd': 95, 'spe': 85}","{'0': 'Swift Swim', '1': 'Sniper', 'H': 'Damp'}",1.8,152,Blue,,"['Water 1', 'Dragon']",ZUBL,Seadra,,,,,,,,,,,trade,,,Dragon Scale,,,,,,,,,,,,,,,
phanpy,231,Phanpy,0231_phanpy,['Ground'],,,,,,,,,"{'hp': 90, 'atk': 60, 'def': 60, 'spa': 40, 'spd': 40, 'spe': 40}","{'0': 'Pickup', 'H': 'Sand Veil'}",0.5,33.5,Blue,['Donphan'],['Field'],LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
donphan,232,Donphan,0232_donphan,['Ground'],,,,,,,,,"{'hp': 90, 'atk': 120, 'def': 120, 'spa': 60, 'spd': 60, 'spe': 50}","{'0': 'Sturdy', 'H': 'Sand Veil'}",1.1,120,Gray,,['Field'],UU,Phanpy,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
porygon2,233,Porygon2,0233_porygon2,['Normal'],,,,,,,,,"{'hp': 85, 'atk': 80, 'def': 90, 'spa': 105, 'spd': 95, 'spe': 60}","{'0': 'Trace', '1': 'Download', 'H': 'Analytic'}",0.6,32.5,Red,['Porygon-Z'],['Mineral'],ZUBL,Porygon,,,,,,,,,,,trade,N,,Up-Grade,,,,,,,,,,,,,,,
stantler,234,Stantler,0234_stantler,['Normal'],,,,,,,,,"{'hp': 73, 'atk': 95, 'def': 62, 'spa': 85, 'spd': 65, 'spe': 85}","{'0': 'Intimidate', '1': 'Frisk', 'H': 'Sap Sipper'}",1.4,71.2,Brown,['Wyrdeer'],['Field'],NFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smeargle,235,Smeargle,0235_smeargle,['Normal'],,,,,,,,,"{'hp': 55, 'atk': 20, 'def': 35, 'spa': 20, 'spd': 45, 'spe': 75}","{'0': 'Own Tempo', '1': 'Technician', 'H': 'Moody'}",1.2,58,White,,['Field'],ZU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyrogue,236,Tyrogue,0236_tyrogue,['Fighting'],,,,,,,,,"{'hp': 35, 'atk': 35, 'def': 35, 'spa': 35, 'spd': 35, 'spe': 35}","{'0': 'Guts', '1': 'Steadfast', 'H': 'Vital Spirit'}",0.7,21,Purple,"['Hitmonlee', 'Hitmonchan', 'Hitmontop']",['Undiscovered'],LC,,,,,,,,,,,,,M,,,,,TRUE,,,,,,,,,,,,
hitmontop,237,Hitmontop,0237_hitmontop,['Fighting'],,,,,,,,,"{'hp': 50, 'atk': 95, 'def': 95, 'spa': 35, 'spd': 110, 'spe': 70}","{'0': 'Intimidate', '1': 'Technician', 'H': 'Steadfast'}",1.4,48,Brown,,['Human-Like'],ZU,Tyrogue,20,,,,,,,,,with an Atk stat equal to its Def stat,,M,,,,,,,,,,,,,,,,,
smoochum,238,Smoochum,0238_smoochum,"['Ice', 'Psychic']",,,,,,,,,"{'hp': 45, 'atk': 30, 'def': 15, 'spa': 85, 'spd': 65, 'spe': 65}","{'0': 'Oblivious', '1': 'Forewarn', 'H': 'Hydration'}",0.4,6,Pink,['Jynx'],['Undiscovered'],Illegal,,,,,,,,,Past,,,,F,,,,,TRUE,,,,,,,,,,,,
elekid,239,Elekid,0239_elekid,['Electric'],,"{'M': 0.75, 'F': 0.25}",,,,,,,"{'hp': 45, 'atk': 63, 'def': 37, 'spa': 65, 'spd': 55, 'spe': 95}","{'0': 'Static', 'H': 'Vital Spirit'}",0.6,23.5,Yellow,['Electabuzz'],['Undiscovered'],LC,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,
magby,240,Magby,0240_magby,['Fire'],,"{'M': 0.75, 'F': 0.25}",,,,,,,"{'hp': 45, 'atk': 75, 'def': 37, 'spa': 70, 'spd': 55, 'spe': 83}","{'0': 'Flame Body', 'H': 'Vital Spirit'}",0.7,21.4,Red,['Magmar'],['Undiscovered'],NFE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,
miltank,241,Miltank,0241_miltank,['Normal'],,,,,,,,,"{'hp': 95, 'atk': 80, 'def': 105, 'spa': 40, 'spd': 70, 'spe': 100}","{'0': 'Thick Fat', '1': 'Scrappy', 'H': 'Sap Sipper'}",1.2,75.5,Pink,,['Field'],Illegal,,,,,,,,,Past,,,,F,,,,,,,,,,,,,,,,,
blissey,242,Blissey,0242_blissey,['Normal'],,,,,,,,,"{'hp': 255, 'atk': 10, 'def': 10, 'spa': 75, 'spd': 135, 'spe': 55}","{'0': 'Natural Cure', '1': 'Serene Grace', 'H': 'Healer'}",1.5,46.8,Pink,,['Fairy'],RU,Chansey,,,,,,,,,,,levelFriendship,F,,,,,,,,,,,,,,,,,
raikou,243,Raikou,0243_raikou,['Electric'],,,,,,,,,"{'hp': 90, 'atk': 85, 'def': 75, 'spa': 115, 'spd': 100, 'spe': 115}","{'0': 'Pressure', 'H': 'Inner Focus'}",1.9,178,Yellow,,['Undiscovered'],NU,,,,,,,,,,,,,N,,,,,,,['Sub-Legendary'],,,,,,,,,,
entei,244,Entei,0244_entei,['Fire'],,,,,,,,,"{'hp': 115, 'atk': 115, 'def': 85, 'spa': 90, 'spd': 75, 'spe': 100}","{'0': 'Pressure', 'H': 'Inner Focus'}",2.1,198,Brown,,['Undiscovered'],RU,,,,,,,,,,,,,N,,,,,,,['Sub-Legendary'],,,,,,,,,,
suicune,245,Suicune,0245_suicune,['Water'],,,,,,,,,"{'hp': 100, 'atk': 75, 'def': 115, 'spa': 90, 'spd': 115, 'spe': 85}","{'0': 'Pressure', 'H': 'Inner Focus'}",2,187,Blue,,['Undiscovered'],RU,,,,,,,,,,,,,N,,,,,,,['Sub-Legendary'],,,,,,,,,,
larvitar,246,Larvitar,0246_larvitar,"['Rock', 'Ground']",,,,,,,,,"{'hp': 50, 'atk': 64, 'def': 50, 'spa': 45, 'spd': 50, 'spe': 41}","{'0': 'Guts', 'H': 'Sand Veil'}",0.6,72,Green,['Pupitar'],['Monster'],LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pupitar,247,Pupitar,0247_pupitar,"['Rock', 'Ground']",,,,,,,,,"{'hp': 70, 'atk': 84, 'def': 70, 'spa': 65, 'spd': 70, 'spe': 51}",{'0': 'Shed Skin'},1.2,152,Gray,['Tyranitar'],['Monster'],NFE,Larvitar,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyranitar,248,Tyranitar,0248_tyranitar,"['Rock', 'Dark']",,,,,,,,,"{'hp': 100, 'atk': 134, 'def': 110, 'spa': 95, 'spd': 100, 'spe': 61}","{'0': 'Sand Stream', 'H': 'Unnerve'}",2,202,Green,,['Monster'],OU,Pupitar,55,['Tyranitar-Mega'],"['Tyranitar', 'Tyranitar-Mega']",,,,,,,,,,,,,,,,,,,,,,,,,,
tyranitarmega,248,Tyranitar-Mega,0248_tyranitar-mega,"['Rock', 'Dark']",,,,,,,,,"{'hp': 100, 'atk': 164, 'def': 150, 'spa': 95, 'spd': 120, 'spe': 71}",{'0': 'Sand Stream'},2.5,255,Green,,['Monster'],Illegal,,,,,,Tyranitar,Mega,Tyranitarite,Past,,,,,,,,,,,,,,,,,,,,,
lugia,249,Lugia,0249_lugia,"['Psychic', 'Flying']",,,,,,,,,"{'hp': 106, 'atk': 90, 'def': 130, 'spa': 90, 'spd': 154, 'spe': 110}","{'0': 'Pressure', 'H': 'Multiscale'}",5.2,216,White,,['Undiscovered'],Uber,,,,,,,,,,,,,N,,,,,,,['Restricted Legendary'],,,,,,,,,,
hooh,250,Ho-Oh,0250_ho-oh,"['Fire', 'Flying']",,,,,,,,,"{'hp': 106, 'atk': 130, 'def': 90, 'spa': 110, 'spd': 154, 'spe': 90}","{'0': 'Pressure', 'H': 'Regenerator'}",3.8,199,Red,,['Undiscovered'],Uber,,,,,,,,,,,,,N,,,,,,,['Restricted Legendary'],,,,,,,,,,
celebi,251,Celebi,0251_celebi,"['Psychic', 'Grass']",,,,,,,,,"{'hp': 100, 'atk': 100, 'def': 100, 'spa': 100, 'spd': 100, 'spe': 100}",{'0': 'Natural Cure'},0.6,5,Green,,['Undiscovered'],Illegal,,,,,,,,,Past,,,,N,,,,,,,['Mythical'],,,,,,,,,,
treecko,252,Treecko,0252_treecko,['Grass'],,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 40, 'atk': 45, 'def': 35, 'spa': 65, 'spd': 55, 'spe': 70}","{'0': 'Overgrow', 'H': 'Unburden'}",0.5,5,Green,['Grovyle'],"['Monster', 'Dragon']",LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grovyle,253,Grovyle,0253_grovyle,['Grass'],,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 50, 'atk': 65, 'def': 45, 'spa': 85, 'spd': 65, 'spe': 95}","{'0': 'Overgrow', 'H': 'Unburden'}",0.9,21.6,Green,['Sceptile'],"['Monster', 'Dragon']",NFE,Treecko,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sceptile,254,Sceptile,0254_sceptile,['Grass'],,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 70, 'atk': 85, 'def': 65, 'spa': 105, 'spd': 85, 'spe': 120}","{'0': 'Overgrow', 'H': 'Unburden'}",1.7,52.2,Green,,"['Monster', 'Dragon']",ZU,Grovyle,36,['Sceptile-Mega'],"['Sceptile', 'Sceptile-Mega']",,,,,,,,,,,,,,,,,,,,,,,,,,
sceptilemega,254,Sceptile-Mega,0254_sceptile-mega,"['Grass', 'Dragon']",,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 70, 'atk': 110, 'def': 75, 'spa': 145, 'spd': 85, 'spe': 145}",{'0': 'Lightning Rod'},1.9,55.2,Green,,"['Monster', 'Dragon']",Illegal,,,,,,Sceptile,Mega,Sceptilite,Past,,,,,,,,,,,,,,,,,,,,,
torchic,255,Torchic,0255_torchic,['Fire'],,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 45, 'atk': 60, 'def': 40, 'spa': 70, 'spd': 50, 'spe': 45}","{'0': 'Blaze', 'H': 'Speed Boost'}",0.4,2.5,Red,['Combusken'],['Field'],NFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combusken,256,Combusken,0256_combusken,"['Fire', 'Fighting']",,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 60, 'atk': 85, 'def': 60, 'spa': 85, 'spd': 60, 'spe': 55}","{'0': 'Blaze', 'H': 'Speed Boost'}",0.9,19.5,Red,['Blaziken'],['Field'],NFE,Torchic,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blaziken,257,Blaziken,0257_blaziken,"['Fire', 'Fighting']",,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 80, 'atk': 120, 'def': 70, 'spa': 110, 'spd': 70, 'spe': 80}","{'0': 'Blaze', 'H': 'Speed Boost'}",1.9,52,Red,,['Field'],UUBL,Combusken,36,['Blaziken-Mega'],"['Blaziken', 'Blaziken-Mega']",,,,,,,,,,,,,,,,,,,,,,,,,,
blazikenmega,257,Blaziken-Mega,0257_blaziken-mega,"['Fire', 'Fighting']",,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 80, 'atk': 160, 'def': 80, 'spa': 130, 'spd': 80, 'spe': 100}",{'0': 'Speed Boost'},1.9,52,Red,,['Field'],Illegal,,,,,,Blaziken,Mega,Blazikenite,Past,,,,,,,,,,,,,,,,,,,,,
mudkip,258,Mudkip,0258_mudkip,['Water'],,"{'M': 0.875, 'F': 0.125}",,,,,,,"{'hp': 50, 'atk': 70, 'def': 50, 'spa': 50, 'spd': 50, 'spe': 40}","{'0': 'Torrent', 'H': 'Damp'}",0.4,7.6,Blue,['Marshtomp'],"['Monster', 'Water 1']",LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
